Full_Address,lat,lon
"Jädekamp 30, 30419 Hannover-Stöcken, DE",52.4176515,9.6381268
"Glauchauer Str. 38, 08058 Zwickau, DE",50.7980126,12.4827873
"Zum Frischemarkt 5, 04158 Leipzig, DE",51.4084843,12.309086
"Europaallee 11, 28309 Bremen-Hemelingen, DE",53.0343065,8.8804952
"Mühlhäuser Str. 141, 99817 Eisenach, DE",50.9926046,10.31341
"Am Kohlenweg 1, 56307 Daufenbach / Dürrholz, DE",50.5800205,7.5686752
"Carl-Zeiss-Strasse 33, 66740 Saarlouis, DE",49.343613,6.7483573
"Salzstrasse 185, 74076 Heilbronn, DE",49.1683652,9.2154079
"Monaiserstr. 13-15, 54294 Trier, DE",49.7210881,6.5885402
"Universitetsvej 2, 4000 Roskilde, DK",55.65077,12.138101
"Bredebjergvej 1, 2630 Taastrup, DK",55.639193,12.25731
"Kanali tee 12a, 10112 Tallinn, EE",59.4097292,24.816077
"Betooni 6, 11415 Tallinn, EE",59.4253375,24.8469178
"Järvevana Tee 9, 11314 Tallinn, EE",59.4030494,24.7342328
"Administrative Building No: 47,  Cairo, EG",29.9881569,31.4451321
"El Ventorro 10-12, 19180 Marchamalo, ES",40.6798838,-3.185472
"C/ Casilla 4, 08170 Montornes del Valles, ES",41.5617374,2.2650764
"Avda Luis Mateos S/N, 09400 Aranda de Duero Burgos, ES",41.6654634,-3.7120578
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Halterner Str. 195, 46284 Dorsten, DE",51.6745551,6.9960817
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Tehontie 10 C, 45200 Kouvola, FI",60.8741539,26.7685241
"Tehontie 10 C, 45200 Kouvola, FI",60.8741539,26.7685241
"Liukumäentie 15, 00640 Helsinki, FI",60.2351511,24.97785
